                    Time	isStop	isStem	   Overall	          	 Attempted	          	                     Test	Approach                 
Sat Dec 10 18:23:12 2016	 False	 False	  0.440800	(1102/1679)	  0.656343	(1102/1679)	    cbtest_NE_test_2500ex	Trigram Simple 20        
Sat Dec 10 18:23:12 2016	 False	 False	  0.329600	(824/2293)	  0.359355	(824/2293)	    cbtest_NE_test_2500ex	Trigram Simple trian     
Sat Dec 10 18:23:12 2016	 False	 False	  0.536400	(1341/2356)	  0.569185	(1341/2356)	    cbtest_NE_test_2500ex	Trigram Simple trian&20  
Sat Dec 10 18:23:13 2016	 False	 False	  0.172400	(431/2465)	  0.174848	(431/2465)	    cbtest_NE_test_2500ex	TrigramWP 20 PP          
Sat Dec 10 18:23:13 2016	 False	 False	  0.056800	(142/1426)	  0.099579	(142/1426)	    cbtest_NE_test_2500ex	TrigramWP 20 PW          
Sat Dec 10 18:23:13 2016	 False	 False	  0.181600	(454/2466)	  0.184104	(454/2466)	    cbtest_NE_test_2500ex	TrigramWP 20 Pmixed      
Sat Dec 10 18:23:13 2016	 False	 False	  0.116800	(292/1591)	  0.183532	(292/1591)	    cbtest_NE_test_2500ex	TrigramWP 20 WP          
Sat Dec 10 18:23:13 2016	 False	 False	  0.049600	 (124/645)	  0.192248	 (124/645)	    cbtest_NE_test_2500ex	TrigramWP 20 WW          
Sat Dec 10 18:23:13 2016	 False	 False	  0.134800	(337/1593)	  0.211551	(337/1593)	    cbtest_NE_test_2500ex	TrigramWP 20 Wmixed      
Sat Dec 10 18:23:13 2016	 False	 False	  0.160400	(401/2497)	  0.160593	(401/2497)	    cbtest_NE_test_2500ex	TrigramWP MA             
Sat Dec 10 18:23:13 2016	 False	 False	  0.189200	(473/2500)	  0.189200	(473/2500)	    cbtest_NE_test_2500ex	TrigramWP MM             
Sat Dec 10 18:23:13 2016	 False	 False	  0.190400	(476/2500)	  0.190400	(476/2500)	    cbtest_NE_test_2500ex	TrigramWP mixed          
